epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2741,2.14734,2.19723,1.27896,0.27128,0.49688,0.37692,0.17678,1.79218,1.54,0.98777,0.00327684,0.00327684,0.00327684
2,59.6496,1.92377,1.29921,1.12555,0.71245,0.50875,0.40234,0.15691,2.00921,1.41991,1.01961,0.00660908,0.00660908,0.00660908
3,86.5062,1.97643,1.3518,1.10095,0.28177,0.3431,0.21397,0.08937,2.34025,2.23234,1.08437,0.00994022,0.00994022,0.00994022
4,112.921,2.18298,1.61599,1.15021,0.21177,0.42552,0.306,0.12295,2.11734,1.52223,1.09598,0.00999505,0.00999505,0.00999505
5,139.449,2.04333,1.34888,1.09367,0.6198,0.67089,0.64591,0.27845,2.03003,0.99256,1.06228,0.0099934,0.0099934,0.0099934
6,166.185,1.99228,1.07516,1.07702,0.63932,0.73413,0.70481,0.34773,1.70804,1.09161,0.9799,0.00999175,0.00999175,0.00999175
7,192.704,1.86281,1.02704,1.08496,0.69302,0.56923,0.57823,0.24938,1.98642,1.22356,1.03971,0.0099901,0.0099901,0.0099901
8,219.242,1.92064,0.98109,1.07521,0.72609,0.73059,0.7653,0.32939,1.93253,0.87167,1.02545,0.00998845,0.00998845,0.00998845
9,245.618,1.86189,0.90895,1.0589,0.82088,0.80585,0.83273,0.36222,1.90447,0.84422,1.00753,0.0099868,0.0099868,0.0099868
10,274.408,1.8126,0.91402,1.05218,0.68436,0.70741,0.68766,0.35713,1.68696,0.80706,0.97083,0.00998515,0.00998515,0.00998515
11,300.695,1.7706,0.86044,1.03627,0.63985,0.70929,0.71454,0.37606,1.7013,0.8508,0.97272,0.0099835,0.0099835,0.0099835
12,327.398,1.77705,0.875,1.02577,0.66736,0.7107,0.69698,0.35751,1.63229,0.8703,0.95942,0.00998185,0.00998185,0.00998185
13,354.019,1.772,0.85393,1.04607,0.7078,0.72303,0.73795,0.39618,1.58718,0.84584,0.94587,0.0099802,0.0099802,0.0099802
14,380.898,1.76993,0.85214,1.0227,0.7812,0.73028,0.76743,0.40318,1.63743,0.82312,0.95173,0.00997855,0.00997855,0.00997855
15,407.7,1.80843,0.81667,1.02557,0.74071,0.74437,0.78231,0.42872,1.54342,0.77412,0.93945,0.0099769,0.0099769,0.0099769
16,434.216,1.75629,0.76784,1.01685,0.79784,0.77694,0.79306,0.43095,1.56601,0.76808,0.94251,0.00997525,0.00997525,0.00997525
17,460.986,1.68819,0.76821,1.01468,0.83181,0.85592,0.89399,0.48028,1.61814,0.75633,0.94362,0.0099736,0.0099736,0.0099736
18,487.775,1.68864,0.75977,1.00341,0.83248,0.80707,0.83795,0.44519,1.6042,0.75706,0.94596,0.00997195,0.00997195,0.00997195
19,514.489,1.71863,0.77526,1.02549,0.85824,0.8247,0.86495,0.46403,1.58742,0.71871,0.94359,0.0099703,0.0099703,0.0099703
20,540.86,1.67586,0.73781,1.00256,0.75915,0.78096,0.78631,0.43365,1.49563,0.72301,0.92917,0.00996865,0.00996865,0.00996865
