epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.827,2.95464,6.92758,2.77446,0,0,0,0,2.58914,9.10634,2.07691,9.88506e-05,9.88506e-05,0.0803287
2,117.991,2.41295,3.79813,2.03844,0.62864,0.16711,0.1478,0.04898,2.16636,3.90989,1.80557,0.00019885,0.00019885,0.0604287
3,170.772,2.09259,3.35148,1.85501,0.66774,0.3272,0.28881,0.11325,1.74002,3.58399,1.69656,0.000298848,0.000298848,0.0405287
4,223.514,1.88831,3.043,1.68869,0.71443,0.3212,0.30438,0.12477,1.58503,3.09375,1.48445,0.000398842,0.000398842,0.0206287
5,275.827,1.69191,2.73157,1.55061,0.50588,0.46025,0.4281,0.18852,1.46076,2.66763,1.38988,0.000498831,0.000498831,0.000728716
6,330.521,1.62152,2.56305,1.49342,0.78521,0.42518,0.46644,0.2017,1.41477,2.46404,1.32578,0.000499969,0.000499969,0.000499969
7,382.845,1.58646,2.70443,1.45344,0.72257,0.47379,0.4595,0.18456,1.38463,2.38913,1.29183,0.000499956,0.000499956,0.000499956
8,434.73,1.5081,2.38032,1.42199,0.60466,0.50928,0.51654,0.22329,1.37566,2.28271,1.28393,0.00049994,0.00049994,0.00049994
9,487.289,1.45198,2.30373,1.3627,0.86127,0.45793,0.56149,0.25785,1.29509,2.14909,1.24489,0.000499922,0.000499922,0.000499922
10,539.676,1.45934,2.23562,1.34527,0.73966,0.51238,0.54147,0.23379,1.33712,2.24134,1.25891,0.000499901,0.000499901,0.000499901
11,592.056,1.37089,2.11761,1.32782,0.62271,0.53135,0.5167,0.22434,1.32944,2.35035,1.27658,0.000499878,0.000499878,0.000499878
12,643.899,1.3374,2.09342,1.31499,0.49874,0.53784,0.50312,0.23355,1.2898,2.29943,1.23808,0.000499852,0.000499852,0.000499852
13,695.829,1.3296,2.13163,1.28604,0.62284,0.61116,0.59087,0.27352,1.24881,2.04026,1.2129,0.000499824,0.000499824,0.000499824
14,748.299,1.346,2.05674,1.3044,0.7449,0.67072,0.68858,0.34351,1.1707,1.82281,1.17546,0.000499794,0.000499794,0.000499794
15,800.611,1.26376,1.95625,1.27493,0.69063,0.58686,0.57858,0.27573,1.25143,1.97946,1.20676,0.000499761,0.000499761,0.000499761
16,852.841,1.24267,1.87983,1.23899,0.75638,0.60949,0.61076,0.28962,1.19037,1.90656,1.18028,0.000499725,0.000499725,0.000499725
17,904.748,1.24127,1.84008,1.23349,0.7739,0.65984,0.69801,0.33997,1.15984,1.90275,1.16214,0.000499687,0.000499687,0.000499687
18,956.873,1.22014,1.77148,1.20368,0.73878,0.62652,0.62163,0.29582,1.16958,1.81837,1.15764,0.000499647,0.000499647,0.000499647
19,1008.54,1.23826,1.79229,1.23555,0.74179,0.69044,0.70645,0.35799,1.11564,1.79445,1.13583,0.000499604,0.000499604,0.000499604
