epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,351.4,6.67067,29.3381,4.41102,0,0,0,0,6.93323,4.95992,4.15371,0.0022,0.0022,0.0022
2,836.997,6.97795,24.4893,4.56294,0,0,0,0,6.93376,4.95451,4.15088,0.00449926,0.00449926,0.00449926
3,1258.49,6.87307,17.5729,4.57444,0,0,0,0,6.93235,4.94971,4.1513,0.00679776,0.00679776,0.00679776
4,1683.25,6.88541,16.229,4.52635,0,0,0,0,6.93338,4.94869,4.15588,0.0090955,0.0090955,0.0090955
5,2032.82,6.85079,11.8656,4.42932,0,0,0,0,6.93371,4.94873,4.16396,0.0099934,0.0099934,0.0099934
6,2486.78,6.77465,11.6705,4.64345,0,0,0,0,6.935,4.96752,4.19332,0.00999175,0.00999175,0.00999175
7,2878.19,5.65891,5.46343,3.6206,0.34729,0.00541,0.00199,0.00042,nan,nan,nan,0.0099901,0.0099901,0.0099901
8,3311.19,4.38229,3.47171,2.63682,0.00607,0.03014,0.005,0.00111,4.57257,3.58442,2.69443,0.00998845,0.00998845,0.00998845
9,3682.05,4.22337,2.82131,1.89848,0.02954,0.11425,0.01607,0.00378,4.12245,inf,21.8635,0.0099868,0.0099868,0.0099868
10,4217.12,4.16736,2.48342,1.78536,0.03399,0.1529,0.02599,0.00575,4.10262,2.29203,3.52291,0.00998515,0.00998515,0.00998515
11,4509.19,4.09647,2.23179,1.65227,0.36638,0.10681,0.01859,0.00471,4.06083,inf,4.81059,0.0099835,0.0099835,0.0099835
12,4906.11,4.01119,2.20775,1.569,0.37549,0.11115,0.02164,0.00525,4.09315,11.3991,2.30273,0.00998185,0.00998185,0.00998185
13,5271.13,3.96991,2.07708,1.62415,0.05235,0.17015,0.03151,0.0076,3.92315,inf,2.41114,0.0099802,0.0099802,0.0099802
14,5650.18,3.82135,1.98244,1.60124,0.38794,0.10498,0.02819,0.006,4.33953,2.17173,2.12353,0.00997855,0.00997855,0.00997855
15,6032,3.58686,1.93911,1.507,0.08943,0.17088,0.06726,0.01641,3.63403,1.88986,1.71019,0.0099769,0.0099769,0.0099769
16,6526.43,3.4732,1.80756,1.47621,0.46772,0.22486,0.10047,0.02531,3.37468,3.14144,1.62941,0.00997525,0.00997525,0.00997525
17,6896.94,3.362,1.66164,1.38864,0.51492,0.17359,0.11569,0.03007,3.4625,1.94557,1.71781,0.0099736,0.0099736,0.0099736
18,7229.44,3.19454,1.6182,1.37349,0.49099,0.2515,0.14075,0.04037,3.04428,1.70478,1.45617,0.00997195,0.00997195,0.00997195
19,7737.7,3.05391,1.56453,1.33052,0.51473,0.13274,0.08846,0.02098,3.64208,2.18621,1.70497,0.0099703,0.0099703,0.0099703
20,8112.21,2.94421,1.47123,1.28553,0.58679,0.3207,0.25822,0.08012,2.75454,1.49706,1.33817,0.00996865,0.00996865,0.00996865
21,8594.88,2.86874,1.4044,1.30045,0.61672,0.24898,0.22059,0.0778,2.81864,1.43452,1.37568,0.009967,0.009967,0.009967
22,8982.05,2.72128,1.40698,1.24917,0.61537,0.29676,0.24293,0.07315,2.7508,2.01202,1.36134,0.00996535,0.00996535,0.00996535
23,9444.84,2.73294,1.37162,1.23241,0.65327,0.34557,0.30981,0.11143,2.42659,1.32908,1.28488,0.0099637,0.0099637,0.0099637
24,9870.38,2.55126,1.30743,1.21317,0.59879,0.25799,0.22106,0.07239,2.73858,1.45681,1.38842,0.00996205,0.00996205,0.00996205
25,10246.6,2.598,1.27357,1.24087,0.57926,0.30546,0.2273,0.07321,2.50242,1.57825,1.28411,0.0099604,0.0099604,0.0099604
26,10724.1,2.60166,1.20909,1.16705,0.62044,0.28533,0.2512,0.0781,2.65692,1.4082,1.33637,0.00995875,0.00995875,0.00995875
27,11145.8,2.43976,1.15799,1.15803,0.70597,0.38727,0.3806,0.14847,2.25793,1.3253,1.19015,0.0099571,0.0099571,0.0099571
28,11681.6,2.40077,1.17341,1.15233,0.6737,0.3969,0.31431,0.12301,2.28159,1.349,1.2208,0.00995545,0.00995545,0.00995545
29,12046.9,2.40946,1.15484,1.13476,0.6378,0.36396,0.31469,0.12707,2.31516,1.22538,1.23074,0.0099538,0.0099538,0.0099538
30,12554.3,2.37743,1.12358,1.13558,0.74583,0.37853,0.40838,0.17795,2.09073,1.15173,1.17358,0.00995215,0.00995215,0.00995215
31,12840.6,2.40111,1.123,1.13264,0.718,0.36448,0.35253,0.12379,2.31161,1.27334,1.21868,0.0099505,0.0099505,0.0099505
32,13335.5,2.3075,1.08897,1.10692,0.73971,0.42775,0.40235,0.16563,2.16341,1.15655,1.18161,0.00994885,0.00994885,0.00994885
33,13747.3,2.25007,1.10087,1.11062,0.72446,0.43891,0.38758,0.16623,2.17519,1.2201,1.19513,0.0099472,0.0099472,0.0099472
34,14087.8,2.25012,1.0743,1.11035,0.44722,0.64949,0.56123,0.24233,1.95435,1.07281,1.12398,0.00994555,0.00994555,0.00994555
35,14411.9,2.09538,1.01864,1.08514,0.52832,0.60158,0.58566,0.26513,2.04695,1.14425,1.13456,0.0099439,0.0099439,0.0099439
36,14881.5,2.23831,1.04608,1.10137,0.78035,0.42805,0.48885,0.19305,2.13872,1.0576,1.16619,0.00994225,0.00994225,0.00994225
37,15275.5,2.13367,0.99634,1.08334,0.79619,0.39603,0.47471,0.20575,2.04901,1.138,1.14904,0.0099406,0.0099406,0.0099406
38,15705.7,2.15246,1.03751,1.075,0.77787,0.43439,0.45799,0.21024,1.98432,1.04262,1.13421,0.00993895,0.00993895,0.00993895
