epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6181,5.31365,8.38248,2.83983,0,0,0,0,4.89333,3.8938,1.91237,0.000195455,0.000195455,0.08065
2,63.0463,3.64342,1.81187,1.593,0,0,0,0,4.01074,4.51758,1.7009,0.000395454,0.000395454,0.06085
3,87.8024,3.11624,1.53032,1.44041,0.47295,0.23473,0.08193,0.0243,2.9864,2.30183,1.35363,0.000595449,0.000595449,0.04105
4,113.437,2.84678,1.4464,1.33983,0.60678,0.27973,0.21753,0.07592,2.61351,1.66747,1.24956,0.000795437,0.000795437,0.02125
5,138.067,2.62385,1.33666,1.28611,0.63735,0.26799,0.19883,0.05703,2.95422,1.59669,1.29544,0.000995416,0.000995416,0.00144996
6,162.542,2.57314,1.27964,1.23946,0.66992,0.32728,0.30249,0.11645,2.49473,1.58784,1.18221,0.000999939,0.000999939,0.000999939
7,187.245,2.41766,1.19153,1.2395,0.4546,0.40848,0.37077,0.13711,2.41052,1.31442,1.17815,0.000999912,0.000999912,0.000999912
8,212.065,2.31907,1.13843,1.21813,0.68122,0.35127,0.33819,0.14215,2.19149,1.29496,1.13467,0.00099988,0.00099988,0.00099988
9,236.842,2.31905,1.13099,1.19039,0.50507,0.53046,0.45835,0.1815,2.23731,1.15182,1.12784,0.000999844,0.000999844,0.000999844
10,261.625,2.23167,1.10286,1.18742,0.44494,0.40477,0.42826,0.17985,2.18024,1.15289,1.11805,0.000999802,0.000999802,0.000999802
11,285.854,2.16937,1.08002,1.17571,0.51047,0.51614,0.45146,0.19318,2.13526,1.17711,1.10325,0.000999756,0.000999756,0.000999756
12,310.684,2.13997,1.07285,1.14263,0.54851,0.55204,0.50512,0.23438,1.98609,1.07197,1.08053,0.000999704,0.000999704,0.000999704
13,335.396,2.05485,0.99658,1.13495,0.81885,0.4594,0.51893,0.21285,2.14895,1.02401,1.09139,0.000999648,0.000999648,0.000999648
14,361.88,2.07531,0.97016,1.12416,0.51253,0.59605,0.51773,0.22377,1.994,1.01445,1.06044,0.000999587,0.000999587,0.000999587
15,386.777,1.98069,0.94216,1.10028,0.5152,0.43408,0.38908,0.14102,2.41667,1.12251,1.17676,0.000999521,0.000999521,0.000999521
16,411.059,1.98684,0.93555,1.10281,0.63503,0.56978,0.5627,0.26373,1.90545,0.95851,1.05087,0.00099945,0.00099945,0.00099945
17,445.387,1.91819,0.91873,1.09282,0.66808,0.58515,0.58303,0.28099,1.83143,0.88395,1.03012,0.000999375,0.000999375,0.000999375
18,470.163,1.9587,0.91937,1.08667,0.6441,0.5519,0.56046,0.26687,1.87271,0.9297,1.05397,0.000999294,0.000999294,0.000999294
19,494.611,1.92562,0.90616,1.06718,0.54136,0.53415,0.45989,0.19977,1.86914,1.20873,1.02724,0.000999209,0.000999209,0.000999209
20,521.408,1.87574,0.91072,1.06543,0.66983,0.58477,0.58358,0.27396,1.91099,0.93056,1.04053,0.000999118,0.000999118,0.000999118
21,552.638,1.83278,0.84894,1.07857,0.77228,0.57559,0.59149,0.25798,1.9236,0.91571,1.04741,0.000999023,0.000999023,0.000999023
22,577.356,1.85043,0.84382,1.04856,0.63352,0.54181,0.51706,0.23171,1.84383,1.05831,1.02414,0.000998923,0.000998923,0.000998923
23,601.885,1.81304,0.85144,1.04952,0.71474,0.62013,0.62719,0.3198,1.73006,0.87302,1.00561,0.000998818,0.000998818,0.000998818
24,626.721,1.79331,0.82761,1.04628,0.73113,0.54787,0.5743,0.28377,1.83141,0.93841,1.02328,0.000998708,0.000998708,0.000998708
25,650.948,1.78332,0.82449,1.04313,0.70812,0.60414,0.61446,0.29406,1.79623,0.94373,1.00202,0.000998594,0.000998594,0.000998594
26,675.569,1.76974,0.82025,1.05175,0.70571,0.59027,0.59089,0.28269,1.83471,0.86938,1.02282,0.000998474,0.000998474,0.000998474
27,699.951,1.76211,0.78162,1.04043,0.82165,0.6083,0.64703,0.31457,1.7646,0.82822,0.99716,0.00099835,0.00099835,0.00099835
28,724.423,1.79078,0.79743,1.05234,0.82049,0.60022,0.63363,0.31884,1.71882,0.81957,1.00403,0.00099822,0.00099822,0.00099822
29,752.244,1.77582,0.76916,1.04247,0.76364,0.61522,0.62961,0.31207,1.7735,0.8356,1.00494,0.000998086,0.000998086,0.000998086
30,776.804,1.73824,0.75953,1.02085,0.82486,0.61362,0.63358,0.3056,1.81788,0.83002,1.00662,0.000997947,0.000997947,0.000997947
31,801.148,1.69591,0.77547,1.02937,0.69262,0.64197,0.64598,0.29811,1.90165,0.84196,1.04548,0.000997803,0.000997803,0.000997803
32,825.65,1.67243,0.74228,1.00947,0.81949,0.70396,0.73378,0.39285,1.69615,0.772,0.98742,0.000997654,0.000997654,0.000997654
33,850.424,1.65859,0.74015,1.01565,0.84934,0.67714,0.7125,0.38075,1.67746,0.76281,0.98962,0.000997501,0.000997501,0.000997501
34,874.647,1.65379,0.71906,1.01057,0.81826,0.66706,0.69552,0.35641,1.66603,0.75948,0.97136,0.000997342,0.000997342,0.000997342
35,904.796,1.67141,0.78449,1.02034,0.85918,0.82387,0.86087,0.45304,1.70077,0.77875,0.98468,0.000997179,0.000997179,0.000997179
36,929.649,1.6263,0.71124,1.00202,0.83061,0.82782,0.84577,0.44234,1.67041,0.77815,0.9772,0.000997011,0.000997011,0.000997011
37,954,1.64051,0.69844,1.01358,0.76034,0.70467,0.70197,0.3544,1.66658,0.75444,0.97098,0.000996838,0.000996838,0.000996838
38,985.131,1.609,0.67971,0.99176,0.78384,0.6758,0.6973,0.3694,1.65744,0.74316,0.96679,0.00099666,0.00099666,0.00099666
39,1009.58,1.61253,0.67073,0.99138,0.83407,0.76282,0.7745,0.40513,1.64141,0.7399,0.97112,0.000996477,0.000996477,0.000996477
40,1034.11,1.60758,0.68179,0.98767,0.82578,0.74296,0.75492,0.39312,1.72595,0.75636,0.98979,0.000996289,0.000996289,0.000996289
41,1058.61,1.62792,0.68751,1.00371,0.86585,0.74812,0.77506,0.39809,1.68692,0.71826,0.9703,0.000996097,0.000996097,0.000996097
42,1082.93,1.60127,0.6935,0.98768,0.88063,0.81825,0.84951,0.45899,1.6167,0.69945,0.96479,0.000995899,0.000995899,0.000995899
43,1107.7,1.57694,0.66962,0.98959,0.77119,0.81372,0.84208,0.45131,1.61921,0.7562,0.96255,0.000995697,0.000995697,0.000995697
44,1131.99,1.58557,0.69589,0.99014,0.83892,0.59792,0.63231,0.31972,1.6614,0.81909,0.97908,0.00099549,0.00099549,0.00099549
45,1162.88,1.60106,0.66873,0.98283,0.78468,0.71226,0.75562,0.39799,1.63412,0.77072,0.96451,0.000995278,0.000995278,0.000995278
46,1187.39,1.573,0.66666,0.98337,0.79802,0.73143,0.73294,0.37299,1.68789,0.76694,0.98231,0.000995062,0.000995062,0.000995062
47,1211.68,1.58657,0.68171,0.98851,0.6678,0.69046,0.67064,0.34863,1.59227,0.72144,0.95317,0.00099484,0.00099484,0.00099484
48,1236.56,1.55032,0.65602,0.97976,0.80878,0.75216,0.76628,0.40539,1.63374,0.73472,0.97427,0.000994614,0.000994614,0.000994614
49,1261.08,1.55184,0.64842,0.97451,0.73759,0.8252,0.85169,0.4657,1.62544,0.76404,0.96348,0.000994383,0.000994383,0.000994383
50,1285.91,1.5618,0.72384,0.97016,0.86461,0.65993,0.69026,0.36743,1.55934,0.7304,0.94393,0.000994147,0.000994147,0.000994147
51,1310.4,1.53233,0.64218,0.98033,0.80499,0.68372,0.69454,0.36678,1.59169,0.72269,0.95171,0.000993906,0.000993906,0.000993906
52,1335.12,1.56848,0.66048,0.98952,0.83886,0.68792,0.70308,0.36823,1.62019,0.70828,0.96601,0.00099366,0.00099366,0.00099366
53,1359.42,1.5477,0.64915,0.96807,0.89772,0.72886,0.7594,0.4189,1.60535,0.73107,0.97278,0.00099341,0.00099341,0.00099341
54,1383.9,1.57774,0.6462,0.97151,0.88753,0.77652,0.78116,0.41922,1.5849,0.69054,0.94742,0.000993154,0.000993154,0.000993154
55,1408.42,1.56094,0.65188,0.97646,0.85838,0.73599,0.74584,0.40374,1.55551,0.67564,0.943,0.000992894,0.000992894,0.000992894
56,1432.95,1.53332,0.6325,0.96822,0.8007,0.79384,0.79581,0.41944,1.67378,0.74475,0.97123,0.000992629,0.000992629,0.000992629
